,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM
,index_price,mark_price,best_bid,best_ask,funding_rate
datetime,,,,,
2025-11-16 12:33:30,,,,,
2025-11-16 12:33:31,,,,,
2025-11-16 12:33:32,,,,,
2025-11-16 12:33:33,,,,,
2025-11-16 12:33:34,,,,,
2025-11-16 12:33:35,,,,,
2025-11-16 12:33:36,,,,,
2025-11-16 12:33:37,,,,,
2025-11-16 12:33:38,,,,,
2025-11-16 12:33:39,,,,,
2025-11-16 12:33:40,,,,,
2025-11-16 12:33:41,,,,,
2025-11-16 12:33:42,,,,,
2025-11-16 12:33:43,,,,,
2025-11-16 12:33:44,,,,,
2025-11-16 12:33:45,,,,,
2025-11-16 12:33:46,,,,,
2025-11-16 12:33:47,,,,,
2025-11-16 12:33:48,,,,,
2025-11-16 12:33:49,,,,,
2025-11-16 12:33:50,,,,,
2025-11-16 12:33:51,,,,,
2025-11-16 12:33:52,,,,,
2025-11-16 12:33:53,,,,,
2025-11-16 12:33:54,,,,,
2025-11-16 12:33:55,,,,,
2025-11-16 12:33:56,,,,,
2025-11-16 12:33:57,,,,,
2025-11-16 12:33:58,139.572,139.577,139.559,139.56,
2025-11-16 12:33:59,,,139.5698,139.57080000000002,
2025-11-16 12:34:00,139.58,139.576,139.5743,139.5753,8.9e-05
2025-11-16 12:34:01,139.579,139.577,139.58440000000002,139.5854,
2025-11-16 12:34:02,139.588,139.584,139.5992,139.6002,
2025-11-16 12:34:03,139.605,139.608,139.60719999999998,139.60819999999998,
2025-11-16 12:34:04,139.624,139.62,139.586,139.587,
2025-11-16 12:34:05,139.596,139.601,139.586,139.587,
2025-11-16 12:34:06,,,139.5788,139.5798,
2025-11-16 12:34:07,139.585,139.581,139.5826,139.5836,
2025-11-16 12:34:08,,,139.5778,139.5788,
2025-11-16 12:34:09,139.591,139.596,139.576,139.577,
2025-11-16 12:34:10,139.581,139.577,139.5587,139.5597,
