,b,c,d,e,f,g,h,i,j,k,,
,40,,$0.72 ,0.17%,2.55%,-0.99%,$33.69M,-35.96%,$2.28B,$122.97K,-$156.15K,-$2.57M
,,ONDO,,,,,,,,,,
,41,,$1.11 ,1.83%,16.30%,-11.17%,$249.74M,-10.21%,$2.23B,$603.71K,$1.25M,$9.11M
,,ASTER,,,,,,,,,,
,42,,$0.19 ,0.16%,1.48%,1.96%,$9.73M,-43.51%,$2.03B,-$60.59K,-$121.13K,-$223.92K
,,POL,,,,,,,,,,
,43,,$0.00 ,0.00%,-1.46%,-2.77%,$35.06K,-15.34%,$1.96B,($72.78),($140.67),$5.26K
,,HTX,,,,,,,,,,
,44,,$0.17 ,2.02%,6.27%,2.02%,$6.14K,-74.94%,$1.95B,($114.50),($114.50),-$5.59K
,,FTM,,,,,,,,,,
,45,,$0.86 ,-0.23%,2.02%,-4.34%,$73.04M,-14.88%,$1.94B,$877.49K,$1.64M,$1.07M
,,WLD,,,,,,,,,,
,46,,$13.43 ,-0.16%,2.76%,-3.34%,$58.76K,-34.53%,$1.74B,$176.34 ,$837.95 ,$6.73K
,,KCS,,,,,,,,,,
,47,,$0.31 ,-0.10%,3.99%,-1.26%,$29.13M,-31.42%,$1.73B,$177.26K,-$33.37K,-$1.22M
,,ARB,,,,,,,,,,
,48,,"$4,151.42 ",0.18%,1.21%,-1.25%,$184.00K,8.23%,$1.69B,($187.39),$1.08K,$5.96K
,,METH,,,,,,,,,,
,49,,$5.09 ,0.08%,-0.97%,-9.03%,$16.37M,-35.99%,$1.65B,-$107.01K,-$601.46K,-$1.04M
,,IP,,,,,,,,,,
,50,,$3.03 ,0.03%,1.44%,-3.75%,$12.34M,-43.00%,$1.64B,$97.03K,$161.09K,$210.63K
,,ICP,,,,,,,,,,
